,united_states (3 month)
1972-02-01,0.0361
1972-03-01,0.0408
1972-04-01,0.046
1972-05-01,0.0441
1972-06-01,0.0464
1972-07-01,0.0482
1972-08-01,0.048499999999999995
1972-09-01,0.0513
1972-10-01,0.0525
1972-11-01,0.052199999999999996
1972-12-01,0.054299999999999994
1973-01-01,0.0581
1973-02-01,0.0634
1973-03-01,0.0705
1973-04-01,0.0731
1973-05-01,0.0755
1973-06-01,0.0816
1973-07-01,0.09699999999999999
1973-08-01,0.10769999999999999
1973-09-01,0.1059
1973-10-01,0.092
1973-11-01,0.0924
1973-12-01,0.09269999999999999
1974-01-01,0.09
1974-02-01,0.0808
1974-03-01,0.08839999999999999
1974-04-01,0.1025
1974-05-01,0.11199999999999999
1974-06-01,0.11380000000000001
1974-07-01,0.1225
1974-08-01,0.1223
1974-09-01,0.11599999999999999
1974-10-01,0.0978
1974-11-01,0.0909
1974-12-01,0.09230000000000001
1975-01-01,0.0748
1975-02-01,0.0641
1975-03-01,0.061799999999999994
1975-04-01,0.0626
1975-05-01,0.0579
1975-06-01,0.0582
1975-07-01,0.0655
1975-08-01,0.0687
1975-09-01,0.0703
1975-10-01,0.06559999999999999
1975-11-01,0.0626
1975-12-01,0.0603
1976-01-01,0.051399999999999994
1976-02-01,0.0518
1976-03-01,0.053399999999999996
1976-04-01,0.0512
1976-05-01,0.0556
1976-06-01,0.0584
1976-07-01,0.0552
1976-08-01,0.053899999999999997
1976-09-01,0.0533
1976-10-01,0.0512
1976-11-01,0.0501
1976-12-01,0.0467
1977-01-01,0.0483
1977-02-01,0.0483
1977-03-01,0.0484
1977-04-01,0.048
1977-05-01,0.0536
1977-06-01,0.0542
1977-07-01,0.0546
1977-08-01,0.059000000000000004
1977-09-01,0.061900000000000004
1977-10-01,0.0667
1977-11-01,0.0668
1977-12-01,0.06709999999999999
1978-01-01,0.0694
1978-02-01,0.069
1978-03-01,0.06860000000000001
1978-04-01,0.0703
1978-05-01,0.07400000000000001
1978-06-01,0.0783
1978-07-01,0.0812
1978-08-01,0.0806
1978-09-01,0.0864
1978-10-01,0.0944
1978-11-01,0.1072
1978-12-01,0.1072
1979-01-01,0.1051
1979-02-01,0.10189999999999999
1979-03-01,0.1013
1979-04-01,0.10060000000000001
1979-05-01,0.1016
1979-06-01,0.09949999999999999
1979-07-01,0.1011
1979-08-01,0.10710000000000001
1979-09-01,0.1189
1979-10-01,0.1366
1979-11-01,0.139
1979-12-01,0.1343
1980-01-01,0.13390000000000002
1980-02-01,0.14300000000000002
1980-03-01,0.1757
1980-04-01,0.16140000000000002
1980-05-01,0.09789999999999999
1980-06-01,0.0849
1980-07-01,0.08650000000000001
1980-08-01,0.09910000000000001
1980-09-01,0.11289999999999999
1980-10-01,0.1294
1980-11-01,0.1568
1980-12-01,0.1865
1981-01-01,0.17190000000000003
1981-02-01,0.16140000000000002
1981-03-01,0.14429999999999998
1981-04-01,0.1508
1981-05-01,0.1827
1981-06-01,0.16899999999999998
1981-07-01,0.1776
1981-08-01,0.1796
1981-09-01,0.1684
1981-10-01,0.1539
1981-11-01,0.12480000000000001
1981-12-01,0.1249
1982-01-01,0.1351
1982-02-01,0.15
1982-03-01,0.1421
1982-04-01,0.1444
1982-05-01,0.138
1982-06-01,0.1446
1982-07-01,0.1344
1982-08-01,0.1061
1982-09-01,0.1066
1982-10-01,0.0951
1982-11-01,0.0895
1982-12-01,0.0866
1983-01-01,0.0836
1983-02-01,0.08539999999999999
1983-03-01,0.08689999999999999
1983-04-01,0.0863
1983-05-01,0.0849
1983-06-01,0.092
1983-07-01,0.095
1983-08-01,0.0977
1983-09-01,0.09390000000000001
1983-10-01,0.09179999999999999
1983-11-01,0.09359999999999999
1983-12-01,0.0969
1984-01-01,0.0942
1984-02-01,0.09539999999999998
1984-03-01,0.1008
1984-04-01,0.1041
1984-05-01,0.11109999999999999
1984-06-01,0.1134
1984-07-01,0.11560000000000001
1984-08-01,0.11470000000000001
1984-09-01,0.11289999999999999
1984-10-01,0.1038
1984-11-01,0.09179999999999999
1984-12-01,0.086
1985-01-01,0.0814
1985-02-01,0.08689999999999999
1985-03-01,0.0902
1985-04-01,0.0849
1985-05-01,0.07919999999999999
1985-06-01,0.07440000000000001
1985-07-01,0.0764
1985-08-01,0.0781
1985-09-01,0.0793
1985-10-01,0.0788
1985-11-01,0.0781
1985-12-01,0.078
1986-01-01,0.0782
1986-02-01,0.07690000000000001
1986-03-01,0.0724
1986-04-01,0.066
1986-05-01,0.0665
1986-06-01,0.0673
1986-07-01,0.0637
1986-08-01,0.0592
1986-09-01,0.0571
1986-10-01,0.056900000000000006
1986-11-01,0.0576
1986-12-01,0.0604
1987-01-01,0.0587
1987-02-01,0.061
1987-03-01,0.0617
1987-04-01,0.0652
1987-05-01,0.0699
1987-06-01,0.0694
1987-07-01,0.067
1987-08-01,0.0675
1987-09-01,0.0737
1987-10-01,0.0802
1987-11-01,0.0724
1987-12-01,0.0766
1988-01-01,0.0692
1988-02-01,0.066
