,france (3 month)
1977-05-01,0.09140000000000001
1977-06-01,0.0904
1977-07-01,0.0872
1977-08-01,0.0849
1977-09-01,0.08380000000000001
1977-10-01,0.08449999999999999
1977-11-01,0.0931
1977-12-01,0.09849999999999999
1978-01-01,0.0926
1978-02-01,0.1047
1978-03-01,0.09910000000000001
1978-04-01,0.08439999999999999
1978-05-01,0.0824
1978-06-01,0.0793
1978-07-01,0.07629999999999999
1978-08-01,0.0745
1978-09-01,0.07400000000000001
1978-10-01,0.0737
1978-11-01,0.0711
1978-12-01,0.0667
1979-01-01,0.06570000000000001
1979-02-01,0.0688
1979-03-01,0.071
1979-04-01,0.07
1979-05-01,0.0761
1979-06-01,0.0868
1979-07-01,0.09939999999999999
1979-08-01,0.1084
1979-09-01,0.11689999999999999
1979-10-01,0.1213
1979-11-01,0.1277
1979-12-01,0.1259
1980-01-01,0.12369999999999999
1980-02-01,0.1263
1980-03-01,0.1399
1980-04-01,0.1294
1980-05-01,0.1265
1980-06-01,0.1235
1980-07-01,0.1193
1980-08-01,0.1127
1980-09-01,0.1183
1980-10-01,0.1173
1980-11-01,0.11259999999999999
1980-12-01,0.11560000000000001
1981-01-01,0.1143
1981-02-01,0.11900000000000001
1981-03-01,0.1257
1981-04-01,0.13
1981-05-01,0.159
1981-06-01,0.1892
1981-07-01,0.1729
1981-08-01,0.1744
1981-09-01,0.1759
1981-10-01,0.1646
1981-11-01,0.1535
1981-12-01,0.15259999999999999
1982-01-01,0.1507
1982-02-01,0.1452
1982-03-01,0.1525
1982-04-01,0.1636
1982-05-01,0.16190000000000002
1982-06-01,0.157
1982-07-01,0.1463
1982-08-01,0.1448
1982-09-01,0.1406
1982-10-01,0.13449999999999998
1982-11-01,0.1297
1982-12-01,0.12710000000000002
1983-01-01,0.1258
1983-02-01,0.129
1983-03-01,0.1265
1983-04-01,0.1213
1983-05-01,0.12560000000000002
1983-06-01,0.1263
1983-07-01,0.12369999999999999
1983-08-01,0.12369999999999999
1983-09-01,0.1243
1983-10-01,0.1245
1983-11-01,0.1235
1983-12-01,0.1219
1984-01-01,0.1225
1984-02-01,0.1245
1984-03-01,0.12539999999999998
1984-04-01,0.12480000000000001
1984-05-01,0.122
1984-06-01,0.1223
1984-07-01,0.11779999999999999
1984-08-01,0.11410000000000001
1984-09-01,0.1105
1984-10-01,0.10800000000000001
1984-11-01,0.10550000000000001
1984-12-01,0.1069
1985-01-01,0.10460000000000001
1985-02-01,0.1063
1985-03-01,0.1073
1985-04-01,0.1048
1985-05-01,0.1018
1985-06-01,0.102
1985-07-01,0.0998
1985-08-01,0.0981
1985-09-01,0.0962
1985-10-01,0.0932
1985-11-01,0.08960000000000001
1985-12-01,0.0895
1986-01-01,0.08960000000000001
